Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
-2.68386,0.0452719,6.44332,6.34955,-13.2238,-2.69219,7.98395,20269.0,19530.5,2213.49,1.00028
-5.25654,0.0458209,6.47654,6.481,-15.9773,-5.20306,5.38782,19990.5,19641.3,2183.09,0.999887
-8.33306,0.0452465,6.4375,6.36076,-19.0101,-8.29877,2.17706,20263.0,19732.1,2212.84,1.00016
-8.85921,0.0459281,6.48869,6.46908,-19.6426,-8.82868,1.68902,19957.5,19487.4,2179.48,1.00009
-5.8493,0.0476254,6.48317,6.42006,-16.5372,-5.88532,4.7883,18588.8,19758.0,2030.0,0.99993
-7.66201,0.0457976,6.4884,6.38081,-18.3225,-7.6564,3.00852,20091.4,19886.5,2194.11,0.999911
-10.4726,0.0469376,6.52404,6.60047,-21.2083,-10.4501,0.180348,19322.0,18656.7,2110.08,0.999993
-4.82276,0.0457571,6.4236,6.48236,-15.3186,-4.8399,5.77699,19773.6,19804.9,2159.39,1.00004
7.48061,0.0461904,6.51642,6.57848,-3.22337,7.4874,18.1401,19924.3,19804.6,2175.86,0.999998
-14.0013,0.0461551,6.48324,6.4978,-24.511,-13.9342,-3.28984,19734.3,19720.6,2155.11,1.00015
-13.6208,0.0457638,6.50101,6.51275,-24.3316,-13.6298,-2.99632,20198.2,19872.0,2205.77,1.00004
-11.3893,0.0458038,6.46727,6.46401,-22.0094,-11.4009,-0.696752,19945.9,18290.6,2178.22,0.999966
6.29767,0.045476,6.47918,6.41739,-4.20536,6.24557,17.1355,20313.7,18808.4,2218.38,1.00006
-11.0975,0.0458634,6.50301,6.45962,-21.7213,-11.1093,-0.426452,20107.1,19802.3,2195.82,1.00007
-2.00655,0.0455436,6.44842,6.42835,-12.583,-2.02427,8.56249,20056.1,19800.6,2190.24,1.00002
-7.15332,0.0463326,6.51556,6.41574,-17.7982,-7.17052,3.65552,19776.2,19324.1,2159.68,0.999961
-0.268693,0.0453396,6.50185,6.5924,-11.0148,-0.287143,10.3923,20568.3,19887.6,2246.18,1.00004
-4.9892,0.0459769,6.52439,6.54406,-15.7792,-5.02893,5.69364,20171.0,19521.0,2202.79,0.999929
-10.8084,0.0451329,6.40607,6.3948,-21.3654,-10.7537,-0.287414,20159.4,19786.3,2201.53,1.00002
-3.8727,0.0454719,6.45421,6.48253,-14.4568,-3.91117,6.70986,20172.5,19504.6,2202.96,0.999976
-13.152,0.046384,6.46992,6.5093,-23.7488,-13.155,-2.60032,19558.3,18546.1,2135.89,1.00014
-3.01631,0.0458813,6.45621,6.3804,-13.6242,-2.99175,7.5011,19813.4,19499.9,2163.74,0.999929
-8.40949,0.045791,6.45314,6.48136,-19.0609,-8.36419,2.11888,19866.9,19682.0,2169.59,0.999954
-18.0927,0.0462208,6.50501,6.48529,-28.8431,-18.0655,-7.38657,19819.9,19019.9,2164.45,0.999948
-17.5469,0.0474505,6.58538,6.69956,-28.3122,-17.4946,-6.72023,19306.9,19314.6,2108.43,1.00007
-14.8382,0.0465215,6.49661,6.56772,-25.5565,-14.7524,-4.20163,19511.4,19806.2,2130.77,1.00003
7.86631,0.0466441,6.52865,6.50949,-2.90207,7.95372,18.5111,19599.8,18766.7,2140.42,0.99995
0.314287,0.0454058,6.42196,6.40631,-10.24,0.28119,10.8676,20016.0,19310.5,2185.87,1.00004
-8.47485,0.047355,6.4697,6.50234,-19.1601,-8.45311,2.15037,18714.0,19362.9,2043.68,1.00003
-15.8559,0.0463855,6.50795,6.48167,-26.6206,-15.8117,-5.13103,19700.2,19635.9,2151.38,1.00027
7.01711,0.0464538,6.51192,6.45796,-3.72536,7.04363,17.7543,19680.0,19490.4,2149.18,1.00003
-1.03765,0.0456902,6.5025,6.50066,-11.7741,-1.06949,9.6719,20260.8,19832.1,2212.6,1.00003
-4.27028,0.0460662,6.50291,6.51121,-14.976,-4.15166,6.26221,19937.1,19931.5,2177.25,1.00008
-1.34734,0.0460135,6.44038,6.41936,-11.9791,-1.32793,9.26504,19623.0,19725.2,2142.95,1.00003
2.29399,0.0454038,6.47498,6.46546,-8.36584,2.23586,13.0172,20347.0,19876.8,2222.01,0.99995
-10.132,0.0466655,6.49607,6.4489,-20.6502,-10.1285,0.678444,19424.9,19856.4,2121.32,1.00006
-16.0779,0.0468534,6.51681,6.42607,-26.846,-16.1142,-5.34219,19366.4,19657.3,2114.93,1.00002
-5.70542,0.0457772,6.42641,6.4323,-16.1592,-5.74857,4.94315,19741.7,19977.3,2155.91,1.0001
-18.2035,0.0465939,6.52804,6.5064,-28.9578,-18.1565,-7.51484,19673.7,18349.4,2148.49,1.00014
-2.05647,0.0463327,6.49485,6.43762,-12.7422,-2.02683,8.62547,19682.2,18787.4,2149.42,0.999997
-8.62061,0.0462519,6.51621,6.48122,-19.32,-8.59395,1.9894,19856.3,19688.3,2168.42,1.00009
1.9396,0.0467051,6.4588,6.47197,-8.70607,1.93024,12.6245,19148.2,19799.5,2091.1,0.999989
-9.02327,0.0472303,6.50271,6.55992,-19.7134,-8.99149,1.5803,19013.0,19793.2,2076.33,1.00009
-1.83668,0.0461117,6.47839,6.42978,-12.5183,-1.83648,8.87118,19760.8,19202.0,2157.99,1.0
-7.0906,0.0464805,6.47643,6.38735,-17.7449,-7.07266,3.57902,19473.5,19674.5,2126.63,0.999938
12.4248,0.0473562,6.54729,6.47945,1.71476,12.4515,23.1403,19152.1,19094.9,2091.53,1.00012
-13.7343,0.0478319,6.5027,6.5282,-24.5074,-13.7285,-3.0308,18534.6,17355.7,2024.09,0.999959
-0.985829,0.0463878,6.47509,6.44569,-11.7095,-0.975293,9.70232,19504.8,19329.4,2130.04,1.00001
-6.04464,0.0458701,6.47056,6.47101,-16.5807,-6.11037,4.60675,19958.8,19887.3,2179.62,0.999977
-8.37425,0.0458084,6.46719,6.48408,-18.9504,-8.41635,2.20049,19948.2,19468.0,2178.47,1.00012
-7.11973,0.046276,6.45966,6.42996,-17.755,-7.11266,3.46835,19505.1,18392.3,2130.08,1.00001
-6.32478,0.0452224,6.46872,6.42112,-16.9533,-6.31755,4.32474,20464.5,19890.4,2234.85,1.00016
-9.68973,0.0467667,6.48262,6.46083,-20.2204,-9.75107,0.967517,19249.6,18876.9,2102.18,1.00001
-4.02408,0.0463188,6.49512,6.45381,-14.7443,-4.04133,6.5754,19677.7,19110.6,2148.92,1.0001
-3.19434,0.0453544,6.45497,6.36643,-13.8538,-3.23077,7.37872,20294.0,19846.8,2216.22,1.00009
-0.115303,0.0448935,6.45603,6.38837,-10.6921,-0.103005,10.5723,20691.3,20074.3,2259.62,0.999972
-11.443,0.0456905,6.45529,6.48064,-22.0084,-11.4726,-0.86351,19974.5,20055.9,2181.34,0.999969
-3.07819,0.0464615,6.45328,6.43788,-13.6232,-3.08204,7.4635,19283.8,19761.8,2105.91,0.99995
-7.81104,0.0453232,6.4955,6.53417,-18.4549,-7.79045,2.7947,20552.7,19703.4,2244.48,1.00007
-15.5503,0.0471846,6.5075,6.5013,-26.1394,-15.5686,-4.77675,19065.0,19267.1,2082.01,1.00006
-15.8547,0.0462984,6.4467,6.39821,-26.4863,-15.7919,-5.27807,19439.8,19805.4,2122.94,1.00007
4.47047,0.0459565,6.51432,6.48042,-6.27108,4.5004,15.1802,20109.3,19736.8,2196.06,0.999885
-2.62027,0.0458517,6.4706,6.49134,-13.1897,-2.6471,8.00266,19936.8,19491.8,2177.22,0.99991
7.45636,0.0459232,6.49546,6.47197,-3.26996,7.43217,18.13,20022.1,19370.1,2186.54,0.999996
-18.2616,0.0470271,6.51832,6.577,-28.8967,-18.2741,-7.48905,19235.6,19948.7,2100.64,0.999946
0.233612,0.0452682,6.44243,6.42434,-10.3541,0.234413,10.7517,20284.5,20185.8,2215.19,0.99991
-4.17065,0.0458385,6.47557,6.51571,-14.8164,-4.18311,6.44351,19981.5,19931.5,2182.1,1.0001
-4.08785,0.0462038,6.50939,6.50743,-14.9063,-4.05061,6.61047,19857.2,19687.2,2168.52,1.00006
-4.23239,0.0453266,6.46976,6.47825,-14.8839,-4.27759,6.48557,20385.0,19229.1,2226.16,1.00011
-1.0804,0.0460624,6.48646,6.46834,-11.6752,-1.10073,9.60344,19855.4,19759.4,2168.33,1.00004
-1.94441,0.0475489,6.49414,6.53919,-12.6121,-1.99595,8.71817,18678.8,19718.5,2039.84,1.0001
-14.8786,0.0476836,6.54164,6.53973,-25.5964,-14.845,-4.19543,18833.2,19812.5,2056.7,1.00014
-8.57519,0.0471721,6.44813,6.46806,-19.1277,-8.55381,2.09273,18757.7,18531.8,2048.45,1.00009
-0.248495,0.0459228,6.45597,6.38215,-10.8152,-0.292768,10.3907,19793.4,19537.7,2161.56,0.999955
-0.0172553,0.0457191,6.48742,6.47189,-10.6787,0.0149364,10.6344,20142.9,19389.9,2199.73,0.99997
11.988,0.0486159,6.54628,6.60445,1.28325,11.9253,22.948,18234.3,19119.8,1991.29,1.00008
-7.05866,0.0462562,6.43116,6.43683,-17.5562,-7.09315,3.51287,19372.2,19581.8,2115.56,0.999918
-33.6557,0.0494245,6.7099,6.66335,-44.6688,-33.7247,-22.5297,18449.5,19838.2,2014.79,1.00003
-10.794,0.0459938,6.52428,6.47158,-21.5323,-10.775,-0.142627,20129.1,19731.3,2198.22,0.999981
-5.20846,0.0461302,6.47752,6.4694,-15.8883,-5.18096,5.38458,19752.6,19536.1,2157.1,0.999946
0.754319,0.0466265,6.53555,6.49426,-10.0865,0.761421,11.476,19658.9,18763.9,2146.87,0.999993
